CustomerID,ReferrerID,PointsBalance,ExpiryDate,TelegramUserID,VerificationCode,Admin ผู้สร้าง,ReferralCount,ActiveCampaign
OT1650,,0,19/10/2025,,2564,g.,,
OT1034,,0,26/10/2025,8100667372,,Telegran,,
OT1651,,0,19/10/2025,,6317,Telegran,,
OT1652,,0,26/10/2025,8320547959,,Telegran,,
OT1653,,0,19/10/2025,,1739,TR,,
OT1654,,0,19/10/2025,,8313,KR,,
OT1655,,0,19/10/2025,,3185,AA,,
OT25,,0,19/10/2025,,8210,g.,,
OT1656,,0,26/10/2025,,1345,AA,,
OT760,,0,26/10/2025,1915112894,,AA,,
OT1657,,0,19/10/2025,,6116,T,,
OT1658,,0,19/10/2025,,4260,AA,,
OT1660,,0,26/10/2025,8387628480,,T,,
OT1659,,0,19/10/2025,,9063,Telegran,,
OT1661,,0,26/10/2025,331639511,,Telegran,,
OT1662,OT1455,0,19/10/2025,,7895,g.,,
OT329,,0,26/10/2025,5836142769,,g.,,
OT1663,,0,26/10/2025,6110676776,,AA,,
OT1664,,0,19/10/2025,,9443,P,,
OT1665,,0,19/10/2025,,6704,g.,,
OT742,,0,19/10/2025,,3955,g.,,
OT1666,,0,19/10/2025,,7988,JK,,
OT1667,,0,19/10/2025,,4528,g.,,
OT1668,,0,26/10/2025,6083350540,,Telegran,,
OT1669,,0,26/10/2025,5163062186,,P,,
OT1670,,0,26/10/2025,6891479707,,g.,,
OT812,,0,02/11/2025,8429073985,,Kethie246,,
OT1671,,0,19/10/2025,,5599,Kethie246,,
OT1672,OT233,0,20/10/2025,,3102,Kethie246,,
OT250,,0,20/10/2025,,1533,Kethie246,,
OT326,,0,20/10/2025,,4613,Kethie246,,
OT182,,0,20/10/2025,,2382,KR,,
OT1039,,0,20/10/2025,,7027,KR,,
OT1674,,0,20/10/2025,,9108,TR,,
OT1675,,0,27/10/2025,7612871398,,TR,,
OT666,,0,20/10/2025,,8758,TR,,
OT651,,0,20/10/2025,,3442,TR,,
OT1676,,0,27/10/2025,8073458810,,g.,,
OT1677,,0,27/10/2025,1423626885,,g.,,
OT700,,0,20/10/2025,,2866,g.,,
OT1678,,0,18/11/2025,,1624,Telegran,1,Nov 2025 Campaign
OT1028,,0,20/10/2025,,5538,AA,,
OT554,,0,27/10/2025,1765534122,,KR,,
OT1679,,0,20/10/2025,,2228,TR,,
OT98,,0,10/11/2025,8126833116,,JK,1,Nov 2025 Campaign
OT70,,0,27/10/2025,7950782184,,Telegran,,
OT1680,,0,20/10/2025,,2820,g.,,
OT1681,,0,20/10/2025,,1563,g.,,
OT1682,,0,27/10/2025,6091224850,,T,,
OT343,,0,27/10/2025,5480764267,,g.,,
OT1683,,0,20/10/2025,,1035,Telegran,,
OT1684,,0,27/10/2025,8361066407,,g.,,
OT1685,,0,20/10/2025,,2077,g.,,
OT1686,,0,27/10/2025,8487780940,,g.,,
OT1687,,0,27/10/2025,,6643,g.,,
OT1673,,0,27/10/2025,,4654,Kethie246,1,Nov 2025 Campaign
OT1688,,0,20/10/2025,,5965,Telegran,,
OT1689,,0,20/10/2025,,7917,AA,,
OT1428,,0,20/10/2025,,5570,g.,,
